year,fiction,non-fiction,poetry,TL,YL
1950,the-man-with-the-golden-arm/,the-life-of-ralph-waldo-emerson/,paterson-book-iii-and-selected-poems/,selected-poems-11/,null
1954,the-adventures-of-augie-march/,a-stillness-at-appomattox/,collected-poems-3/,null,null
1952,from-here-to-eternity/,the-sea-around-us/,collected-poems/,null,null
1955,a-fable/,the-measure-of-man/,the-collected-poems-of-wallace-stevens/,null,null
1957,the-field-of-vision/,russia-leaves-the-war/,things-of-this-world/,null,null
1951,the-collected-stories-of-william-faulkner/,the-trouble-of-one-house/,herman-melville/,the-auroras-of-autumn/,null
1956,ten-north-frederick/,an-american-in-italy/,the-shield-of-achilles/,null,null
1953,invisible-man/,the-course-of-empire/,collected-poems-1917-1952/,null,null
1962,the-moviegoer/,the-city-in-history-its-origins-its-transformations-and-its-prospects/,poems-4/,null,null
1958,the-wapshot-chronicle/,the-lion-and-the-throne/,promises-poems-1954-1956/,null,null
1961,the-waters-of-kronos/,the-rise-and-fall-of-the-third-reich/,the-woman-at-the-washington-zoo/,null,null
1960,goodbye-columbus/,james-joyce/,life-studies/,null,null
1959,the-magic-barrel/,mistress-to-an-age-a-life-of-madame-de-stael/,words-for-the-wind/,null,null
1964,the-centaur/,john-keats-the-making-of-a-poet/,the-rise-of-the-west-a-history-of-the-human-community/,selected-poems-5/,man-made-america/
1963,morte-durban/,henry-james-vol-ii-the-conquest-of-london-henry-james-vol-iii-the-middle-years/,traveling-through-the-dark/,null,null
1965,oysters-of-locmariaquer/,herzog/,the-life-of-lenin/,the-far-field/,null
1969,the-armies-of-the-night-history-as-a-novel-the-novel-as-history/,steps/,his-toy-his-dream-his-rest/,death-in-life-survivors-of-hiroshima/,null
1970,an-unfinished-woman-a-memoir/,a-day-of-pleasure-stories-of-a-boy-growing-up-in-warsaw/,them/,the-complete-poems/,null
1967,mr-clemens-and-mark-twain-a-biography/,the-fixer/,the-enlightenment-vol-i-the-rise-of-modern-paganism/,nights-and-days/,null
1973,collected-poems-1951-1971/,chimera/,augustus/,the-farthest-shore/,null
1971,the-marvelous-misadventures-of-sebastian/,mr-sammlers-planet/,to-see-to-take/,roosevelt-the-soldier-of-freedom/,null
1974,a-crown-of-feathers-and-other-stories/,gravitys-rainbow/,diving-into-the-wreck-poems-1971-1972/,the-fall-of-america-poems-of-these-states-1965-1971/,deeper-into-the-movies/
1968,the-eighth-day/,the-light-around-the-body/,death-at-an-early-age/,soren-kierkegaards-journals-and-papers/,null
1966,paris-journal-1944-1965/,the-collected-stories-of-katherine-anne-porter/,a-thousand-days/,buckdancers-choice-poems/,null
1972,the-slightly-irregular-fire-engine-or-the-hithering-thithering-djinn/,the-complete-stories-of-flannery-oconnor/,the-collected-poems-of-frank-ohara/,selected-poems-8/,null
1975,the-life-of-emily-dickinson/,m-c-higgins-the-great/,dog-soldiers/,presentation-piece/,null
1976,the-great-war-and-modern-memory/,bert-breens-barn/,jr/,self-portrait-in-a-convex-mirror/,null
1977,the-master-puppeteer/,the-spectator-bird/,world-of-our-fathers-2/,master-tungs-western-chamber-romance/,null
1978,samuel-johnson-a-biography/,blood-tie/,the-path-between-the-seas-the-creation-of-the-panama-canal-1870-1914/,the-collected-poems-of-howard-nemerov/,null
1979,robert-kennedy-and-his-times/,the-great-gilly-hopkins/,the-snow-leopard/,going-after-cacciato/,null
1980,lauren-bacall-by-myself/,max-perkins-editor-of-genius/,a-swiftly-tilting-planet/,sophies-choice/,null
1981,ramona-and-her-mother/,the-stories-of-john-cheever/,china-men/,the-pandas-thumb-more-reflections-on-natural-history/,null
1982,mornings-on-horseback/,jumanji/,rabbit-is-rich/,naming-names/,null
1983,the-color-purple/,the-collected-stories/,the-women-of-brewster-place/,national-defense/,null
1984,victory-over-japan-a-book-of-stories/,stones-for-ibarra/,andrew-jackson-the-course-of-american-democracy-1833-1845/,null,null
1985,white-noise/,easy-in-the-islands/,common-ground-a-turbulent-decade-in-the-lives-of-three-american-families/,null,null
1986,worlds-fair/,arctic-dreams/,null,null,null
1987,pacos-story/,the-making-of-the-atom-bomb/,null,null,null
1988,paris-trout/,a-bright-shining-lie-john-paul-vann-and-america-in-vietnam/,null,null,null
1989,spartina/,from-beirut-to-jerusalem/,null,null,null
1990,middle-passage/,the-house-of-morgan-an-american-banking-dynasty-and-the-rise-of-modern-finance/,null,null,null
1991,mating/,freedom/,what-work-is/,null,null
1992,all-the-pretty-horses/,becoming-a-man-half-a-life-story/,new-selected-poems/,null,null
1993,shipping-news/,united-states-essays-1952-1992/,garbage/,null,null
1994,a-frolic-of-his-own/,how-we-die-reflections-on-lifes-final-chapter/,worshipful-company-of-fletchers/,null,null
1995,sabbaths-theater/,the-haunted-land-facing-europes-ghosts-after-communism/,passing-through-the-later-poems/,null,null
1996,ship-fever-and-other-stories/,an-american-requiem-god-my-father-and-the-war-that-came-between-us/,scrambled-eggs-whiskey-poems-1991-1995/,parrot-in-the-oven-mi-vida/,null
1997,cold-mountain/,american-sphinx-the-character-of-thomas-jefferson/,effort-at-speech-new-selected-poems/,dancing-on-the-edge/,null
1999,waiting/,embracing-defeat-japan-in-the-wake-of-world-war-ii/,vice-new-selected-poems/,when-zachary-beaver-came-to-town/,null
1998,charming-billy/,slaves-in-the-family/,this-time-new-and-selected-poems/,holes/,null
2000,in-america/,in-the-heart-of-the-sea-the-tragedy-of-the-whaleship-essex/,blessing-the-boats-new-and-selected-poems-1988-2000/,homeless-bird/,null
2001,the-corrections/,the-noonday-demon-an-atlas-of-depression/,poems-seven-new-and-complete-poetry/,true-believer-make-lemonade-2/,null
2002,three-junes/,master-of-the-senate-the-years-of-lyndon-johnson/,in-the-next-galaxy/,the-house-of-the-scorpion/,null
2003,the-great-fire/,waiting-for-snow-in-havana-confessions-of-a-cuban-boy/,the-singing/,the-canning-season/,null
2004,the-news-from-paraguay/,arc-of-justice-a-saga-of-race-civil-rights-and-murder-in-the-jazz-age/,door-in-the-mountain-new-and-collected-poems-1965-2003/,godless/,null
2005,europe-central/,the-year-of-magical-thinking/,migration-new-and-selected-poems/,the-penderwicks/,null
2006,the-echo-maker/,the-worst-hard-time-the-untold-story-of-those-who-survived-the-great-american-dust-bowl/,splay-anthem/,the-astonishing-life-of-octavian-nothing-traitor-to-the-nation-vol-1-the-pox-party/,null
2007,tree-of-smoke/,legacy-of-ashes-the-history-of-the-cia/,time-and-materials/,the-absolutely-true-diary-of-a-part-time-indian/,null
2008,shadow-country/,the-hemingses-of-monticello-an-american-family/,fire-to-fire-new-and-selected-poems/,what-i-saw-and-how-i-lied/,null
2009,let-the-great-world-spin/,the-first-tycoon-the-epic-life-of-cornelius-vanderbilt/,transcendental-studies-a-trilogy/,claudette-colvin-twice-toward-justice/,null
2010,lord-of-misrule/,just-kids/,lighthead/,mockingbird/,null
2011,salvage-the-bones/,the-swerve-how-the-world-became-modern/,head-off-split/,inside-out-back-again/,null
2012,the-round-house/,behind-the-beautiful-forevers-life-death-and-hope-in-a-mumbai-undercity/,bewilderment-new-poems-and-translations/,goblin-secrets/,null
2013,the-good-lord-bird/,the-unwinding-an-inner-history-of-the-new-america/,incarnadine/,the-thing-about-luck/,null
2014,redeployment/,age-of-ambition-chasing-fortune-truth-and-faith-in-the-new-china/,faithful-and-virtuous-night/,brown-girl-dreaming/,null
2016,the-underground-railroad/,stamped-from-the-beginning-the-definitive-history-of-racist-ideas-in-america/,the-performance-of-becoming-human/,march-book-three/,null
2015,fortune-smiles-stories/,between-the-world-and-me/,voyage-of-the-sable-venus/,challenger-deep/,null
2017,sing-unburied-sing/,the-future-is-history-how-totalitarianism-reclaimed-russia/,half-light-collected-poems-1965-2016/,far-from-the-tree/,null
2018,the-friend/,the-new-negro-the-life-of-alain-locke/,indecency/,the-emissary/,the-poet-x/
2019,trust-exercise-henry-holt-company-macmillan-publishers/,the-yellow-house/,sight-lines/,baron-wenckheims-homecoming/,1919-the-year-that-changed-america/
2020,interior-chinatown/,the-dead-are-arising-the-life-of-malcolm-x/,dmz-colony/,tokyo-ueno-station/,king-and-the-dragonflies/
2021,hell-of-a-book/,all-that-she-carried-the-journey-of-ashleys-sack-a-black-family-keepsake/,floaters/,winter-in-sokcho/,last-night-at-the-telegraph-club/
2022,the-rabbit-hutch/,south-to-america-a-journey-below-the-mason-dixon-to-understand-the-soul-of-a-nation/,punks-new-selected-poems/,seven-empty-houses/,all-my-rage/
2023,2023-national-book-awards/,null,null,null,null
